LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
FRA,QGDP,TOT,PC_CHGPY,Q,1961-Q1,3.971438,E
FRA,QGDP,TOT,PC_CHGPY,Q,1961-Q2,5.239927,E
FRA,QGDP,TOT,PC_CHGPY,Q,1961-Q3,6.121195,E
FRA,QGDP,TOT,PC_CHGPY,Q,1961-Q4,6.660063,E
FRA,QGDP,TOT,PC_CHGPY,Q,1962-Q1,6.86151,E
FRA,QGDP,TOT,PC_CHGPY,Q,1962-Q2,6.877658,E
FRA,QGDP,TOT,PC_CHGPY,Q,1962-Q3,6.717294,E
FRA,QGDP,TOT,PC_CHGPY,Q,1962-Q4,6.248001,E
FRA,QGDP,TOT,PC_CHGPY,Q,1963-Q1,2.630487,E
FRA,QGDP,TOT,PC_CHGPY,Q,1963-Q2,5.50874,E
FRA,QGDP,TOT,PC_CHGPY,Q,1963-Q3,7.442326,E
FRA,QGDP,TOT,PC_CHGPY,Q,1963-Q4,6.444313,E
FRA,QGDP,TOT,PC_CHGPY,Q,1964-Q1,10.285372,E
FRA,QGDP,TOT,PC_CHGPY,Q,1964-Q2,6.583462,E
FRA,QGDP,TOT,PC_CHGPY,Q,1964-Q3,4.445012,E
FRA,QGDP,TOT,PC_CHGPY,Q,1964-Q4,5.061879,E
FRA,QGDP,TOT,PC_CHGPY,Q,1965-Q1,3.34945,E
FRA,QGDP,TOT,PC_CHGPY,Q,1965-Q2,4.914833,E
FRA,QGDP,TOT,PC_CHGPY,Q,1965-Q3,5.141568,E
FRA,QGDP,TOT,PC_CHGPY,Q,1965-Q4,5.650559,E
FRA,QGDP,TOT,PC_CHGPY,Q,1966-Q1,6.367614,E
FRA,QGDP,TOT,PC_CHGPY,Q,1966-Q2,5.355112,E
FRA,QGDP,TOT,PC_CHGPY,Q,1966-Q3,5.038778,E
FRA,QGDP,TOT,PC_CHGPY,Q,1966-Q4,4.162074,E
FRA,QGDP,TOT,PC_CHGPY,Q,1967-Q1,4.999723,E
FRA,QGDP,TOT,PC_CHGPY,Q,1967-Q2,4.567421,E
FRA,QGDP,TOT,PC_CHGPY,Q,1967-Q3,4.376944,E
FRA,QGDP,TOT,PC_CHGPY,Q,1967-Q4,4.822062,E
FRA,QGDP,TOT,PC_CHGPY,Q,1968-Q1,6.05459,E
FRA,QGDP,TOT,PC_CHGPY,Q,1968-Q2,-3.046592,E
FRA,QGDP,TOT,PC_CHGPY,Q,1968-Q3,6.957439,E
FRA,QGDP,TOT,PC_CHGPY,Q,1968-Q4,7.010256,E
FRA,QGDP,TOT,PC_CHGPY,Q,1969-Q1,4.175765,E
FRA,QGDP,TOT,PC_CHGPY,Q,1969-Q2,15.486193,E
FRA,QGDP,TOT,PC_CHGPY,Q,1969-Q3,4.673238,E
FRA,QGDP,TOT,PC_CHGPY,Q,1969-Q4,4.430437,E
FRA,QGDP,TOT,PC_CHGPY,Q,1970-Q1,6.231298,E
FRA,QGDP,TOT,PC_CHGPY,Q,1970-Q2,4.996378,E
FRA,QGDP,TOT,PC_CHGPY,Q,1970-Q3,5.445563,E
FRA,QGDP,TOT,PC_CHGPY,Q,1970-Q4,6.261521,E
FRA,QGDP,TOT,PC_CHGPY,Q,1971-Q1,4.403152,E
FRA,QGDP,TOT,PC_CHGPY,Q,1971-Q2,4.98047,E
FRA,QGDP,TOT,PC_CHGPY,Q,1971-Q3,5.242838,E
FRA,QGDP,TOT,PC_CHGPY,Q,1971-Q4,4.503637,E
FRA,QGDP,TOT,PC_CHGPY,Q,1972-Q1,5.735934,E
FRA,QGDP,TOT,PC_CHGPY,Q,1972-Q2,4.242857,E
FRA,QGDP,TOT,PC_CHGPY,Q,1972-Q3,3.481127,E
FRA,QGDP,TOT,PC_CHGPY,Q,1972-Q4,4.305489,E
FRA,QGDP,TOT,PC_CHGPY,Q,1973-Q1,5.008156,E
FRA,QGDP,TOT,PC_CHGPY,Q,1973-Q2,5.73643,E
FRA,QGDP,TOT,PC_CHGPY,Q,1973-Q3,5.705915,E
FRA,QGDP,TOT,PC_CHGPY,Q,1973-Q4,5.308799,E
FRA,QGDP,TOT,PC_CHGPY,Q,1974-Q1,4.242214,E
FRA,QGDP,TOT,PC_CHGPY,Q,1974-Q2,3.64434,E
FRA,QGDP,TOT,PC_CHGPY,Q,1974-Q3,3.731282,E
FRA,QGDP,TOT,PC_CHGPY,Q,1974-Q4,0.875242,E
FRA,QGDP,TOT,PC_CHGPY,Q,1975-Q1,-0.532776,E
FRA,QGDP,TOT,PC_CHGPY,Q,1975-Q2,-0.778119,E
FRA,QGDP,TOT,PC_CHGPY,Q,1975-Q3,-1.324734,E
FRA,QGDP,TOT,PC_CHGPY,Q,1975-Q4,1.541171,E
FRA,QGDP,TOT,PC_CHGPY,Q,1976-Q1,3.497158,E
FRA,QGDP,TOT,PC_CHGPY,Q,1976-Q2,4.467073,E
FRA,QGDP,TOT,PC_CHGPY,Q,1976-Q3,4.556114,E
FRA,QGDP,TOT,PC_CHGPY,Q,1976-Q4,4.448314,E
FRA,QGDP,TOT,PC_CHGPY,Q,1977-Q1,4.075391,E
FRA,QGDP,TOT,PC_CHGPY,Q,1977-Q2,3.296345,E
FRA,QGDP,TOT,PC_CHGPY,Q,1977-Q3,3.281466,E
FRA,QGDP,TOT,PC_CHGPY,Q,1977-Q4,2.243419,E
FRA,QGDP,TOT,PC_CHGPY,Q,1978-Q1,2.530302,E
FRA,QGDP,TOT,PC_CHGPY,Q,1978-Q2,3.783741,E
FRA,QGDP,TOT,PC_CHGPY,Q,1978-Q3,3.219253,E
FRA,QGDP,TOT,PC_CHGPY,Q,1978-Q4,3.860699,E
FRA,QGDP,TOT,PC_CHGPY,Q,1979-Q1,3.318718,E
FRA,QGDP,TOT,PC_CHGPY,Q,1979-Q2,2.600582,E
FRA,QGDP,TOT,PC_CHGPY,Q,1979-Q3,3.864765,E
FRA,QGDP,TOT,PC_CHGPY,Q,1979-Q4,3.184112,E
FRA,QGDP,TOT,PC_CHGPY,Q,1980-Q1,3.405528,
FRA,QGDP,TOT,PC_CHGPY,Q,1980-Q2,1.836051,
FRA,QGDP,TOT,PC_CHGPY,Q,1980-Q3,0.805857,
FRA,QGDP,TOT,PC_CHGPY,Q,1980-Q4,0.491113,
FRA,QGDP,TOT,PC_CHGPY,Q,1981-Q1,-0.189272,
FRA,QGDP,TOT,PC_CHGPY,Q,1981-Q2,0.898115,
FRA,QGDP,TOT,PC_CHGPY,Q,1981-Q3,1.433344,
FRA,QGDP,TOT,PC_CHGPY,Q,1981-Q4,2.236448,
FRA,QGDP,TOT,PC_CHGPY,Q,1982-Q1,2.650225,
FRA,QGDP,TOT,PC_CHGPY,Q,1982-Q2,2.772635,
FRA,QGDP,TOT,PC_CHGPY,Q,1982-Q3,2.257159,
FRA,QGDP,TOT,PC_CHGPY,Q,1982-Q4,2.088677,
FRA,QGDP,TOT,PC_CHGPY,Q,1983-Q1,1.730639,
FRA,QGDP,TOT,PC_CHGPY,Q,1983-Q2,1.147832,
FRA,QGDP,TOT,PC_CHGPY,Q,1983-Q3,1.100584,
FRA,QGDP,TOT,PC_CHGPY,Q,1983-Q4,1.148947,
FRA,QGDP,TOT,PC_CHGPY,Q,1984-Q1,1.2983,
FRA,QGDP,TOT,PC_CHGPY,Q,1984-Q2,1.556499,
FRA,QGDP,TOT,PC_CHGPY,Q,1984-Q3,2.07892,
FRA,QGDP,TOT,PC_CHGPY,Q,1984-Q4,1.655645,
FRA,QGDP,TOT,PC_CHGPY,Q,1985-Q1,1.227713,
FRA,QGDP,TOT,PC_CHGPY,Q,1985-Q2,1.701008,
FRA,QGDP,TOT,PC_CHGPY,Q,1985-Q3,1.714195,
FRA,QGDP,TOT,PC_CHGPY,Q,1985-Q4,1.975172,
FRA,QGDP,TOT,PC_CHGPY,Q,1986-Q1,2.175403,
FRA,QGDP,TOT,PC_CHGPY,Q,1986-Q2,2.513434,
FRA,QGDP,TOT,PC_CHGPY,Q,1986-Q3,2.344673,
FRA,QGDP,TOT,PC_CHGPY,Q,1986-Q4,2.12647,
FRA,QGDP,TOT,PC_CHGPY,Q,1987-Q1,2.053286,
FRA,QGDP,TOT,PC_CHGPY,Q,1987-Q2,2.12691,
FRA,QGDP,TOT,PC_CHGPY,Q,1987-Q3,2.394295,
FRA,QGDP,TOT,PC_CHGPY,Q,1987-Q4,3.697961,
FRA,QGDP,TOT,PC_CHGPY,Q,1988-Q1,4.762328,
FRA,QGDP,TOT,PC_CHGPY,Q,1988-Q2,4.308635,
FRA,QGDP,TOT,PC_CHGPY,Q,1988-Q3,4.905558,
FRA,QGDP,TOT,PC_CHGPY,Q,1988-Q4,4.524312,
FRA,QGDP,TOT,PC_CHGPY,Q,1989-Q1,4.688258,
FRA,QGDP,TOT,PC_CHGPY,Q,1989-Q2,4.854045,
FRA,QGDP,TOT,PC_CHGPY,Q,1989-Q3,4.352215,
FRA,QGDP,TOT,PC_CHGPY,Q,1989-Q4,4.039149,
FRA,QGDP,TOT,PC_CHGPY,Q,1990-Q1,4.105787,
FRA,QGDP,TOT,PC_CHGPY,Q,1990-Q2,3.247247,
FRA,QGDP,TOT,PC_CHGPY,Q,1990-Q3,2.501337,
FRA,QGDP,TOT,PC_CHGPY,Q,1990-Q4,1.966154,
FRA,QGDP,TOT,PC_CHGPY,Q,1991-Q1,0.303331,
FRA,QGDP,TOT,PC_CHGPY,Q,1991-Q2,0.970491,
FRA,QGDP,TOT,PC_CHGPY,Q,1991-Q3,1.224174,
FRA,QGDP,TOT,PC_CHGPY,Q,1991-Q4,1.580467,
FRA,QGDP,TOT,PC_CHGPY,Q,1992-Q1,2.549035,
FRA,QGDP,TOT,PC_CHGPY,Q,1992-Q2,1.644681,
FRA,QGDP,TOT,PC_CHGPY,Q,1992-Q3,1.257634,
FRA,QGDP,TOT,PC_CHGPY,Q,1992-Q4,0.404234,
FRA,QGDP,TOT,PC_CHGPY,Q,1993-Q1,-1.134177,
FRA,QGDP,TOT,PC_CHGPY,Q,1993-Q2,-0.750695,
FRA,QGDP,TOT,PC_CHGPY,Q,1993-Q3,-0.405699,
FRA,QGDP,TOT,PC_CHGPY,Q,1993-Q4,0.095018,
FRA,QGDP,TOT,PC_CHGPY,Q,1994-Q1,1.274866,
FRA,QGDP,TOT,PC_CHGPY,Q,1994-Q2,2.214294,
FRA,QGDP,TOT,PC_CHGPY,Q,1994-Q3,2.637726,
FRA,QGDP,TOT,PC_CHGPY,Q,1994-Q4,3.132357,
FRA,QGDP,TOT,PC_CHGPY,Q,1995-Q1,3.163376,
FRA,QGDP,TOT,PC_CHGPY,Q,1995-Q2,2.511902,
FRA,QGDP,TOT,PC_CHGPY,Q,1995-Q3,1.835784,
FRA,QGDP,TOT,PC_CHGPY,Q,1995-Q4,1.216853,
FRA,QGDP,TOT,PC_CHGPY,Q,1996-Q1,1.429039,
FRA,QGDP,TOT,PC_CHGPY,Q,1996-Q2,0.976449,
FRA,QGDP,TOT,PC_CHGPY,Q,1996-Q3,1.518849,
FRA,QGDP,TOT,PC_CHGPY,Q,1996-Q4,1.514797,
FRA,QGDP,TOT,PC_CHGPY,Q,1997-Q1,1.09441,
FRA,QGDP,TOT,PC_CHGPY,Q,1997-Q2,2.352938,
FRA,QGDP,TOT,PC_CHGPY,Q,1997-Q3,2.469196,
FRA,QGDP,TOT,PC_CHGPY,Q,1997-Q4,3.488098,
FRA,QGDP,TOT,PC_CHGPY,Q,1998-Q1,4.074284,
FRA,QGDP,TOT,PC_CHGPY,Q,1998-Q2,3.477111,
FRA,QGDP,TOT,PC_CHGPY,Q,1998-Q3,3.587658,
FRA,QGDP,TOT,PC_CHGPY,Q,1998-Q4,3.111335,
FRA,QGDP,TOT,PC_CHGPY,Q,1999-Q1,2.810111,
FRA,QGDP,TOT,PC_CHGPY,Q,1999-Q2,2.978848,
FRA,QGDP,TOT,PC_CHGPY,Q,1999-Q3,3.383005,
FRA,QGDP,TOT,PC_CHGPY,Q,1999-Q4,3.984092,
FRA,QGDP,TOT,PC_CHGPY,Q,2000-Q1,4.429811,
FRA,QGDP,TOT,PC_CHGPY,Q,2000-Q2,4.382038,
FRA,QGDP,TOT,PC_CHGPY,Q,2000-Q3,3.897244,
FRA,QGDP,TOT,PC_CHGPY,Q,2000-Q4,3.403088,
FRA,QGDP,TOT,PC_CHGPY,Q,2001-Q1,2.858996,
FRA,QGDP,TOT,PC_CHGPY,Q,2001-Q2,2.248379,
FRA,QGDP,TOT,PC_CHGPY,Q,2001-Q3,1.782022,
FRA,QGDP,TOT,PC_CHGPY,Q,2001-Q4,1.028173,
FRA,QGDP,TOT,PC_CHGPY,Q,2002-Q1,0.955449,
FRA,QGDP,TOT,PC_CHGPY,Q,2002-Q2,1.062817,
FRA,QGDP,TOT,PC_CHGPY,Q,2002-Q3,1.157645,
FRA,QGDP,TOT,PC_CHGPY,Q,2002-Q4,1.121268,
FRA,QGDP,TOT,PC_CHGPY,Q,2003-Q1,0.911216,
FRA,QGDP,TOT,PC_CHGPY,Q,2003-Q2,0.355441,
FRA,QGDP,TOT,PC_CHGPY,Q,2003-Q3,0.688559,
FRA,QGDP,TOT,PC_CHGPY,Q,2003-Q4,1.464108,
FRA,QGDP,TOT,PC_CHGPY,Q,2004-Q1,2.216822,
FRA,QGDP,TOT,PC_CHGPY,Q,2004-Q2,2.965126,
FRA,QGDP,TOT,PC_CHGPY,Q,2004-Q3,2.622438,
FRA,QGDP,TOT,PC_CHGPY,Q,2004-Q4,2.549805,
FRA,QGDP,TOT,PC_CHGPY,Q,2005-Q1,1.868306,
FRA,QGDP,TOT,PC_CHGPY,Q,2005-Q2,1.490236,
FRA,QGDP,TOT,PC_CHGPY,Q,2005-Q3,1.639105,
FRA,QGDP,TOT,PC_CHGPY,Q,2005-Q4,1.618011,
FRA,QGDP,TOT,PC_CHGPY,Q,2006-Q1,2.1993,
FRA,QGDP,TOT,PC_CHGPY,Q,2006-Q2,2.951753,
FRA,QGDP,TOT,PC_CHGPY,Q,2006-Q3,2.470971,
FRA,QGDP,TOT,PC_CHGPY,Q,2006-Q4,2.498652,
FRA,QGDP,TOT,PC_CHGPY,Q,2007-Q1,2.446303,
FRA,QGDP,TOT,PC_CHGPY,Q,2007-Q2,2.253348,
FRA,QGDP,TOT,PC_CHGPY,Q,2007-Q3,2.568805,
FRA,QGDP,TOT,PC_CHGPY,Q,2007-Q4,2.157479,
FRA,QGDP,TOT,PC_CHGPY,Q,2008-Q1,1.741135,
FRA,QGDP,TOT,PC_CHGPY,Q,2008-Q2,0.557572,
FRA,QGDP,TOT,PC_CHGPY,Q,2008-Q3,-0.128556,
FRA,QGDP,TOT,PC_CHGPY,Q,2008-Q4,-1.855913,
FRA,QGDP,TOT,PC_CHGPY,Q,2009-Q1,-3.84103,
FRA,QGDP,TOT,PC_CHGPY,Q,2009-Q2,-3.564548,
FRA,QGDP,TOT,PC_CHGPY,Q,2009-Q3,-3.062384,
FRA,QGDP,TOT,PC_CHGPY,Q,2009-Q4,-1.021265,
FRA,QGDP,TOT,PC_CHGPY,Q,2010-Q1,1.100433,
FRA,QGDP,TOT,PC_CHGPY,Q,2010-Q2,1.879879,
FRA,QGDP,TOT,PC_CHGPY,Q,2010-Q3,2.316844,
FRA,QGDP,TOT,PC_CHGPY,Q,2010-Q4,2.272118,
FRA,QGDP,TOT,PC_CHGPY,Q,2011-Q1,2.903557,
FRA,QGDP,TOT,PC_CHGPY,Q,2011-Q2,2.287604,
FRA,QGDP,TOT,PC_CHGPY,Q,2011-Q3,1.881827,
FRA,QGDP,TOT,PC_CHGPY,Q,2011-Q4,1.3952,
FRA,QGDP,TOT,PC_CHGPY,Q,2012-Q1,0.391276,
FRA,QGDP,TOT,PC_CHGPY,Q,2012-Q2,0.296398,
FRA,QGDP,TOT,PC_CHGPY,Q,2012-Q3,0.187353,
FRA,QGDP,TOT,PC_CHGPY,Q,2012-Q4,0.010181,
FRA,QGDP,TOT,PC_CHGPY,Q,2013-Q1,-0.045784,
FRA,QGDP,TOT,PC_CHGPY,Q,2013-Q2,0.738708,
FRA,QGDP,TOT,PC_CHGPY,Q,2013-Q3,0.609322,
FRA,QGDP,TOT,PC_CHGPY,Q,2013-Q4,1.13213,
FRA,QGDP,TOT,PC_CHGPY,Q,2014-Q1,1.188777,
FRA,QGDP,TOT,PC_CHGPY,Q,2014-Q2,0.700826,
FRA,QGDP,TOT,PC_CHGPY,Q,2014-Q3,1.260842,
FRA,QGDP,TOT,PC_CHGPY,Q,2014-Q4,0.827929,
FRA,QGDP,TOT,PC_CHGPY,Q,2015-Q1,1.16127,
FRA,QGDP,TOT,PC_CHGPY,Q,2015-Q2,0.933401,
FRA,QGDP,TOT,PC_CHGPY,Q,2015-Q3,0.791822,
FRA,QGDP,TOT,PC_CHGPY,Q,2015-Q4,1.017918,
FRA,QGDP,TOT,PC_CHGPY,Q,2016-Q1,1.235904,
FRA,QGDP,TOT,PC_CHGPY,Q,2016-Q2,1.179344,
FRA,QGDP,TOT,PC_CHGPY,Q,2016-Q3,0.92733,
FRA,QGDP,TOT,PC_CHGPY,Q,2016-Q4,1.150581,
FRA,QGDP,TOT,PC_CHGPY,Q,2017-Q1,1.198527,
FRA,QGDP,TOT,PC_CHGPY,Q,2017-Q2,1.908321,
FRA,QGDP,TOT,PC_CHGPY,Q,2017-Q3,2.305517,
FRA,QGDP,TOT,PC_CHGPY,Q,2017-Q4,2.501019,
